Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
218569826,Is a River Alive?,Robert Macfarlane,"Macfarlane, Robert",,"=""0393242137""","=""9780393242133""",0,4.24,W. W. Norton & Company,Hardcover,384,2025,2025,,2025/12/07,to-read,to-read (#622),to-read,,,,0,0
243923303,True Human: Reimagining Ourselves at the End of Our World,Samantha Sweetwater,"Sweetwater, Samantha",,"=""""","=""9798999965714""",0,5.00,Samantha Sweetwater,Kindle Edition,546,2025,,,2025/12/07,to-read,to-read (#621),to-read,,,,0,0
1340181,TechnoFeminism,Judy Wajcman,"Wajcman, Judy",,"=""0745630448""","=""9780745630441""",0,4.06,Polity,Paperback,160,2004,2004,,2025/11/19,to-read,to-read (#620),to-read,,,,0,0
48765544,The Non-Existence of the Real World,Jan Westerhoff,"Westerhoff, Jan",,"=""0198847912""","=""9780198847915""",0,4.00,Oxford University Press,Hardcover,384,2020,,,2025/10/03,to-read,to-read (#619),to-read,,,,0,0
221473776,"Outgrowing Modernity: Navigating Complexity, Complicity, and Collapse with Accountability and Compassion",Vanessa Machado De Oliveira,"Oliveira, Vanessa Machado De",,"=""""","=""9798889842507""",0,4.47,North Atlantic Books,Paperback,368,2025,,,2025/05/07,reading-soon,reading-soon (#12),reading-soon,,,,0,0
738083,Meeting the Universe Halfway: Quantum Physics and the Entanglement of Matter and Meaning,Karen Barad,"Barad, Karen",,"=""082233917X""","=""9780822339175""",0,4.35,Duke University Press,Paperback,524,2007,2006,,2019/11/17,reading-soon,reading-soon (#11),reading-soon,,,,0,0
218372426,Moral Ambition: Stop Wasting Your Talent and Start Making a Difference,Rutger Bregman,"Bregman, Rutger",,"=""031658035X""","=""9780316580359""",0,3.74,"Little, Brown and Company",Hardcover,304,2025,2024,,2025/08/23,to-read,to-read (#618),to-read,,,,0,0
229269843,"Stellar: A world beyond limits, and how to get there.",James Arbib,"Arbib, James",Tony Seba,"=""""","=""""",0,3.75,James Arbib and Tony Seba,Paperback,260,2025,,,2025/08/18,to-read,to-read (#617),to-read,,,,0,0
17934759,Codex Seraphinianus,Luigi Serafini,"Serafini, Luigi",,"=""0847842134""","=""9780847842131""",0,4.50,Rizzoli,Hardcover,396,2013,1981,,2025/07/28,to-read,to-read (#616),to-read,,,,0,0
58353189,A Half-Built Garden,Ruthanna Emrys,"Emrys, Ruthanna",,"=""1250210984""","=""9781250210982""",0,3.61,Tordotcom,Hardcover,352,2022,2022,,2025/07/16,to-read,to-read (#615),to-read,,,,0,0
228173490,Our Dark Divinity,Bruce Lyon,"Lyon, Bruce",Janine Ma-Ree,"=""""","=""""",0,5.00,,Kindle Edition,210,2025,,,2025/07/08,to-read,to-read (#614),to-read,,,,0,0
34466962,"There's No Such Thing as Bad Weather: A Scandinavian Mom's Secrets for Raising Healthy, Resilient, and Confident Kids (from Friluftsliv to Hygge)",Linda Åkeson McGurk,"McGurk, Linda Åkeson",,"=""150114362X""","=""9781501143625""",0,4.11,Touchstone,Hardcover,304,2017,2017,,2025/07/06,to-read,to-read (#613),to-read,,,,0,0
16144851,Parenting Without Borders: Surprising Lessons Parents Around the World Can Teach Us,Christine Gross-Loh,"Gross-Loh, Christine",,"=""1583334556""","=""9781583334553""",0,3.93,Avery,Hardcover,308,2013,2013,,2025/07/06,to-read,to-read (#612),to-read,,,,0,0
