post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
174907225.in-correspondence-52,2025-09-30T09:28:09.631Z,true,2025-09-30T09:28:09.782Z,2025-09-30T09:28:09.782Z,newsletter,everyone,In Correspondence #52,"A wedding, Deep Joy and post-capitalist solidarity",
172465810.in-correspondence-51,2025-09-01T10:34:13.171Z,true,2025-09-01T10:34:13.255Z,2025-09-01T10:34:13.255Z,newsletter,everyone,In Correspondence #51,,
169249535.in-correspondence-50,2025-07-27T09:00:54.574Z,true,2025-07-27T09:00:54.769Z,2025-07-27T09:00:54.769Z,newsletter,everyone,In Correspondence #50,More from Hilma and tips for the LLM connoisseur,
168280583.two-upcoming-events-network-nations,2025-07-14T11:02:43.135Z,true,2025-07-14T11:02:43.224Z,2025-07-14T11:02:43.224Z,newsletter,everyone,Two upcoming events: Network Nations and Futurecraft,"Shoreditch &Soul in August, and The Garden in September",
167573754.substack-surfacer-countering-substack,2025-07-05T09:12:51.202Z,true,2025-07-05T09:12:51.698Z,2025-07-05T09:12:51.698Z,newsletter,everyone,Substack Surfacer: countering Substack overwhelm,A Python script to rank Substack posts by likes per subscriber,
166535703.introducing-hilma-church-turing,2025-06-22T17:15:06.974Z,true,2025-06-22T17:15:07.169Z,2025-06-22T17:15:07.169Z,newsletter,everyone,Introducing Hilma Church-Turing,"An imaginal biography, and the upcoming book on Technological Metamodernism",
165806711.in-correspondence-49,2025-06-16T07:42:11.866Z,true,2025-06-16T07:42:11.959Z,2025-06-16T07:42:11.959Z,newsletter,everyone,In Correspondence #49,"Elevate, Bread Coop and Circles",
164302858.four-reasons-to-join-us-at-emerge,2025-05-24T15:23:27.014Z,true,2025-05-24T15:23:27.137Z,2025-05-24T15:23:27.137Z,newsletter,everyone,Four reasons to join us at Emerge Lakefront,Applications open now for residencies from 3 months to 3 years,
162542732.life-as-practice-a-yearlong-group,2025-04-30T15:48:23.854Z,true,2025-04-30T15:48:23.945Z,2025-04-30T15:48:23.945Z,newsletter,everyone,Life as Practice: A Yearlong Group Mentorship,"Join me and Laura on a brand new programme, Sep 2025 – Aug 2026",
161205813.in-correspondence-48,2025-05-12T10:00:36.511Z,true,2025-05-12T10:00:36.731Z,2025-05-12T10:00:36.731Z,newsletter,everyone,In Correspondence #48,"Japan, Funding the Commons and an engagement",
158695649.in-correspondence-47,2025-04-04T08:05:52.526Z,true,2025-04-04T08:05:52.598Z,2025-04-04T08:05:52.598Z,newsletter,everyone,In Correspondence #47,"Ekskäret, Soulmaking and Cosmopoesis",
156458219.in-correspondence-46,2025-02-05T13:14:47.874Z,true,2025-02-05T13:14:47.938Z,2025-02-05T13:14:47.938Z,newsletter,everyone,In Correspondence #46,"Andetag, Alalaho and Co-ops as City-States",
153876765.in-correspondence-45,2025-01-01T19:14:35.256Z,true,2025-01-01T19:14:35.348Z,2025-01-01T19:14:35.348Z,newsletter,everyone,In Correspondence #45,"Plans for 2025, Pantheon and Toki Pona",
152457540.in-correspondence-44,2024-12-02T20:40:12.417Z,true,2024-12-02T20:40:12.528Z,2024-12-02T20:40:12.528Z,newsletter,everyone,In Correspondence #44,"Futurecraft, Ekskäret and Right Story",
