"title","author","additional_authors","book_id","slug","date_read","date_added","created","last_modified","author_l_f","average_rating","binding","bookshelves","bookshelves_with_positions","dandelion","exclusive_shelf","fiction","genres","isbn","isbn13","my_rating","number_of_pages","number_of_ratings","original_publication_year","original_publication_year_or_year_published","owned_copies","publisher","read_count","year_published","cover_image"
"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)","Shannon Chakraborty","S.A. Chakraborty","61294937","the-adventures-of-amina-al-sirafi-amina-al-sirafi","2026-05-20","2026-05-18","2026-05-22T08:33:02.000Z","2026-05-22T08:33:02.000Z","Chakraborty, Shannon","","Hardcover","","","","read","1","Fantasy, Historical Fiction, Fiction, Pirates, Audiobook, Adventure, Historical","","","5","483","84242","2023","2023","0","Harper Voyager","1","2023","/images/books/61294937.jpg"
"Saltcrop","Yume Kitasei","","222376600","saltcrop","2026-03-25","2025-06-10","2025-06-13T16:50:38.000Z","2026-05-22T08:33:14.000Z","Kitasei, Yume","0","Hardcover","","","","read","1","Science Fiction, Fiction, Dystopia, Fantasy, Adult, Science Fiction Fantasy","1250380960","9781250380968","4","384","16","2025","2025","0","Flatiron Books","0","2025","/images/books/222376600.jpg"
"Retrotopia","John Michael Greer","","33258426","retrotopia","2026-02-11","2023-10-14","2024-06-01T06:05:48.000Z","2026-05-22T08:33:37.000Z","Greer, John Michael","0","Kindle Edition","","","true","read","1","Fiction, Dystopia, Science Fiction","","","5","265","157","2016","2016","0","Founders House Publishing LLC","0","2016","/images/books/33258426.jpg"
"Antimemetics: Why Some Ideas Resist Spreading","Nadia Asparouhova","","230403458","antimemetics-why-some-ideas-resist-spreading","2026-01-29","2026-01-29","2026-02-23T08:26:08.000Z","2026-05-22T08:33:40.000Z","Asparouhova, Nadia","0","Paperback","","","true","read","0","Nonfiction, Sociology, Philosophy, Psychology, Technology, Science, Theory","","9798992936407","5","166","172","","2025","0","The Dark Forest Collective","1","2025","/images/books/230403458.jpg"
"The Bilingual Brain: And What It Tells Us about the Science of Language","Albert Costa","John W. Schwieter","42981796","the-bilingual-brain-and-what-it-tells-us-about-the-science-of-language","2026-01-25","2025-12-23","2026-02-23T08:26:34.000Z","2026-05-22T08:33:49.000Z","Costa, Albert","0","Hardcover","","","","read","0","Nonfiction, Linguistics, Science, Language, Psychology, Neuroscience, Audiobook","0241391512","9780241391518","3","176","1293","2017","2017","0","Allen Lane","1","2020","/images/books/42981796.jpg"
"Children of Time (Children of Time, #1)","Adrian Tchaikovsky","","25499718","children-of-time-children-of-time","2026-01-20","2025-12-26","2026-02-23T08:26:37.000Z","2026-05-22T08:33:49.000Z","Tchaikovsky, Adrian","0","Hardcover","","","","read","1","Science Fiction, Fiction, Audiobook, Fantasy, Space Opera, Space, Science Fiction Fantasy","1447273281","9781447273288","5","608","177655","2015","2015","0","PanMacmillan","1","2015","/images/books/25499718.jpg"
"⿻ 數位 Plurality: The Future of Collaborative Technology and Democracy","E. Glen Weyl","⿻ Community, Audrey Tang","211810531","-plurality-the-future-of-collaborative-technology-and-democracy","2026-01-03","2024-08-29","2024-09-06T08:21:34.000Z","2026-05-22T08:33:50.000Z","Weyl, E. Glen","0","Paperback","","","true","read","0","Nonfiction, Technology","","9798321247181","4","584","13","","2024","0","Independently published","0","2024","/images/books/211810531.jpg"
"Sea of Tranquility","Emily St. John Mandel","","59909433","sea-of-tranquility","2025-05-30","2025-05-27","2025-06-13T16:50:41.000Z","2026-05-22T08:34:16.000Z","Mandel, Emily St. John","0","Kindle Edition","","","","read","1","Fiction, Science Fiction, Time Travel, Audiobook, Book Club, Fantasy, Historical Fiction","1529083524","9781529083521","4","274","278085","2022","2022","0","Picador","1","2022","/images/books/59909433.jpg"
"The World We Create: From God to Market","Tomas Björkman","","52773080","the-world-we-create-from-god-to-market","2025-05-12","2019-10-22","2024-06-01T06:05:48.000Z","2026-05-22T08:34:19.000Z","Björkman, Tomas","0","Kindle Edition","","","true","read","0","Nonfiction, History, Philosophy","1912892480","9781912892488","5","570","42","","2019","0","Perspectiva Press","0","2019","/images/books/52773080.jpg"
"There Is No Antimemetics Division","qntm","Sam  Hughes","54870256","there-is-no-antimemetics-division","2025-04-03","2025-02-04","2025-06-13T16:50:57.000Z","2026-05-22T08:34:21.000Z","qntm, qntm","0","Kindle Edition","","","","read","1","Science Fiction, Horror, Fiction, Short Stories, Fantasy, Lovecraftian, Weird Fiction","","","5","220","10627","2020","2020","0","","1","2020","/images/books/54870256.jpg"
"What We Owe The Future: A Million-Year View","William MacAskill","","62292177","what-we-owe-the-future-a-million-year-view","2024-12-15","2022-09-11","2025-06-13T16:51:17.000Z","2026-05-22T08:34:31.000Z","MacAskill, William","0","Kindle Edition","","","","read","0","Philosophy, Nonfiction, Science, History, Audiobook, Politics, Futurism","0861542517","9780861542512","4","494","6108","2022","2022","0","Oneworld Publications","1","2022","/images/books/62292177.jpg"
"Right Story, Wrong Story","Tyson Yunkaporta","","199122606","right-story-wrong-story","2024-11-19","2024-08-29","2024-09-06T08:21:34.000Z","2026-05-22T08:34:33.000Z","Yunkaporta, Tyson","0","Paperback","indigenous-thinking","indigenous-thinking (#11)","true","read","0","Nonfiction, Indigenous, Australia, Audiobook, Nature","1922790435","9781922790439","5","288","137","","2023","0","Text Publishing","0","2023","/images/books/199122606.jpg"
"Playground","Richard Powers","","205478762","playground","2024-10-18","2024-09-21","2024-12-15T20:14:15.000Z","2026-05-22T08:34:35.000Z","Powers, Richard","0","Hardcover","","","","read","1","Fiction, Science Fiction, Literary Fiction, Contemporary, Nature, Audiobook, Environment","1324086033","9781324086031","4","381","8479","2024","2024","0","W. W. Norton & Company","1","2024","/images/books/205478762.jpg"
